release_year,sentiment
2017,Very Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Mixed
9999,Positive
9999,Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2001,Mixed
2017,Very Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Mostly Negative
2017,Very Positive
9999,Positive
2017,Very Positive
2017,Mostly Positive
9999,Very Positive
2017,Very Positive
2017,Positive
2017,Overwhelmingly Positive
2017,Mostly Negative
2017,Negative
2017,Mixed
2017,Positive
2017,Mostly Negative
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
9999,Mostly Positive
2012,Very Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
9999,Mixed
2017,Mixed
2017,Mostly Positive
9999,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mostly Negative
2017,Mixed
2017,Very Positive
9999,Mixed
9999,Mostly Negative
9999,Positive
2017,Very Positive
2017,Mostly Positive
9999,Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
9999,Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Mixed
9999,Positive
9999,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Negative
2017,Mixed
2017,Positive
2017,Positive
9999,Mixed
2017,Mostly Negative
9999,Mixed
2017,Positive
2017,Positive
2017,Mostly Negative
2017,Positive
2017,Positive
2017,Positive
9999,Very Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Overwhelmingly Positive
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Positive
9999,Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Positive
2014,Mixed
2017,Positive
2017,Negative
2017,Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Positive
9999,Mixed
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Very Positive
9999,Very Positive
2017,Positive
2017,Positive
9999,Very Positive
2017,Positive
2017,Very Positive
9999,Mostly Positive
9999,Very Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mostly Negative
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
9999,Positive
2017,Mixed
2017,Positive
2017,Very Positive
9999,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
9999,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Positive
2017,Mostly Negative
2017,Mostly Negative
2017,Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Mixed
9999,Very Positive
9999,Mixed
9999,Mixed
2017,Positive
2017,Mixed
2017,Mostly Positive
9999,Positive
9999,Very Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Mixed
2017,Positive
2017,Very Positive
9999,Mixed
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Mostly Negative
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Overwhelmingly Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
9999,Mixed
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mixed
1996,Positive
2017,Mostly Positive
9999,Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Very Positive
9999,Mostly Positive
2017,Positive
2015,Positive
2017,Mostly Negative
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mostly Negative
2017,Very Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Very Positive
9999,Positive
9999,Mostly Positive
2017,Positive
2017,Positive
9999,Mostly Negative
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Very Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Mostly Negative
9999,Mixed
2017,Mixed
2017,Mixed
2017,Mixed
2017,Positive
2016,Mixed
2017,Very Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
9999,Mixed
9999,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
9999,Positive
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Very Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Very Positive
9999,Positive
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
9999,Very Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mixed
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Mostly Negative
2017,Mostly Negative
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mixed
9999,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Negative
2016,Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Negative
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Mostly Positive
9999,Mostly Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
9999,Mostly Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
9999,Positive
2017,Mixed
9999,Mixed
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Positive
9999,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Very Positive
9999,Very Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
9999,Mixed
2017,Mixed
2017,Positive
2017,Mostly Negative
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Positive
2017,Mostly Negative
2017,Overwhelmingly Positive
2017,Positive
2017,Mostly Positive
2016,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
9999,Mostly Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Positive
9999,Mixed
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Positive
9999,Mixed
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Very Positive
9999,Mixed
2017,Mixed
2017,Very Positive
2017,Positive
2017,Mostly Positive
2010,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
9999,Positive
2017,Mostly Positive
9999,Very Positive
2017,Very Positive
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Very Positive
9999,Mostly Positive
9999,Mixed
2017,Very Positive
2017,Very Positive
9999,Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Positive
9999,Very Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Overwhelmingly Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Very Positive
9999,Very Positive
9999,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Positive
9999,Positive
9999,Very Positive
2017,Mixed
2016,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2015,Mixed
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
9999,Positive
2017,Mostly Negative
9999,Positive
2017,Very Positive
2017,Positive
2017,Very Positive
9999,Mostly Negative
2017,Mixed
2017,Mixed
2017,Mixed
9999,Mostly Positive
2002,Positive
2001,Very Positive
2007,Mixed
2017,Positive
2017,Very Positive
2017,Mostly Negative
2017,Very Positive
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mixed
9999,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Positive
9999,Positive
9999,Positive
2017,Mixed
2017,Mixed
9999,Positive
2017,Very Positive
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Positive
2014,Positive
2017,Very Positive
9999,Mostly Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2016,Very Positive
2017,Mixed
9999,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2016,Mixed
9999,Mixed
9999,Negative
9999,Mixed
9999,Mostly Negative
9999,Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Mostly Negative
2017,Mixed
9999,Mostly Positive
2017,Mixed
9999,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Very Positive
2017,Mixed
2017,Overwhelmingly Positive
2017,Mixed
2006,Mixed
2017,Mixed
2017,Mixed
9999,Very Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Positive
9999,Positive
2017,Mostly Negative
2017,Very Positive
2017,Very Positive
2017,Very Positive
9999,Very Positive
2017,Mostly Positive
2017,Positive
2017,Mostly Negative
2017,Mostly Positive
9999,Positive
9999,Very Positive
9999,Mixed
2017,Positive
1998,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
9999,Positive
2017,Positive
2017,Mixed
2017,Mixed
9999,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Very Positive
9999,Mostly Positive
9999,Very Positive
2017,Very Positive
2017,Overwhelmingly Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Mixed
9999,Mixed
9999,Very Positive
2017,Positive
9999,Positive
2017,Mixed
9999,Mostly Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Mostly Negative
2017,Positive
2017,Mostly Positive
2017,Mixed
9999,Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Positive
2017,Positive
9999,Positive
2017,Very Positive
9999,Mostly Positive
2017,Positive
2017,Mixed
9999,Mixed
9999,Very Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mixed
1998,Mostly Positive
2001,Mixed
9999,Positive
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Overwhelmingly Positive
1998,Mixed
2017,Mixed
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Positive
9999,Mixed
2017,Mostly Positive
2017,Very Positive
9999,Very Positive
9999,Mixed
2017,Mixed
9999,Mixed
2017,Positive
2017,Very Positive
2017,Mixed
2017,Overwhelmingly Positive
2012,Mostly Negative
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Mixed
1998,Positive
2017,Very Positive
2017,Overwhelmingly Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Mixed
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Overwhelmingly Positive
9999,Positive
2017,Positive
2016,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Mixed
2017,Positive
2017,Positive
2015,Mostly Negative
2017,Mixed
2017,Very Positive
2001,Mostly Positive
2017,Mixed
2017,Mostly Negative
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2015,Positive
2017,Positive
9999,Mixed
2016,Mixed
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
9999,Positive
2017,Mixed
2016,Mostly Positive
9999,Very Positive
2017,Very Positive
9999,Positive
2017,Very Positive
2017,Positive
2017,Mostly Negative
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mixed
9999,Very Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Very Positive
2017,Very Positive
2006,Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
9999,Mixed
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Mixed
9999,Positive
2017,Positive
2017,Positive
2015,Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Mixed
1995,Positive
2017,Very Positive
2017,Positive
9999,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Very Positive
9999,Very Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Positive
9999,Mixed
2017,Mixed
9999,Positive
2017,Mostly Positive
9999,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
9999,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Mixed
9999,Mostly Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Mixed
9999,Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Positive
9999,Very Positive
2017,Positive
2017,Mixed
2009,Very Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2014,Positive
2013,Positive
2017,Very Positive
2017,Mixed
9999,Very Positive
9999,Positive
2016,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Overwhelmingly Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Negative
2016,Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
2017,Positive
9999,Mixed
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2014,Mostly Positive
2017,Mostly Positive
9999,Mixed
2017,Positive
2017,Mixed
2017,Mostly Negative
9999,Very Positive
9999,Very Positive
9999,Very Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Positive
2016,Positive
2017,Mixed
9999,Very Positive
2017,Overwhelmingly Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Positive
2017,Very Positive
2012,Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Very Positive
9999,Positive
2017,Mixed
2017,Positive
2017,Mostly Negative
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mixed
9999,Positive
9999,Very Positive
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
9999,Positive
9999,Very Positive
9999,Mostly Negative
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Positive
2016,Mostly Negative
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Negative
9999,Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Very Positive
9999,Very Positive
2017,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
9999,Mostly Positive
2016,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Positive
9999,Mixed
2017,Very Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Mostly Negative
9999,Very Positive
2017,Mostly Positive
2017,Very Positive
2017,Mostly Negative
2017,Positive
2017,Positive
9999,Mixed
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
2017,Mixed
9999,Mostly Positive
2017,Negative
2017,Very Positive
9999,Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Positive
2017,Mostly Positive
9999,Mostly Positive
2017,Very Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Mostly Positive
2015,Very Positive
2017,Mostly Positive
2017,Positive
2017,Mostly Negative
2017,Mixed
2017,Very Positive
9999,Mostly Positive
2017,Very Positive
2017,Very Positive
2017,Very Positive
2017,Positive
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mostly Negative
1995,Positive
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Very Positive
2017,Mostly Positive
2017,Positive
2017,Positive
2017,Mixed
9999,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Mostly Negative
2017,Positive
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Positive
2017,Positive
9999,Mixed
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mostly Negative
2017,Very Positive
2017,Mixed
9999,Mixed
9999,Mostly Positive
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
9999,Mostly Negative
9999,Positive
9999,Very Positive
2017,Very Positive
1997,Mostly Positive
9999,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mostly Positive
1997,Positive
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Very Positive
2017,Mostly Positive
2017,Positive
9999,Positive
2017,Mixed
2017,Mostly Negative
2017,Very Positive
2017,Very Positive
2017,Mostly Positive
2013,Positive
2013,Mixed
2014,Positive
2014,Mixed
2016,Mixed
2017,Mostly Positive
2013,Mixed
2017,Mixed
2017,Positive
2016,Mostly Positive
9999,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Mostly Negative
2017,Very Positive
2017,Negative
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
9999,Very Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Mostly Negative
2017,Mixed
2017,Mixed
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mostly Positive
2017,Mixed
2017,Mostly Negative
2017,Mostly Negative
2017,Mostly Positive
2017,Positive
2017,Mixed
2017,Very Positive
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Mixed
9999,Mostly Positive
2017,Positive
2017,Mixed
2016,Mixed
2017,Mixed
2017,Very Positive
9999,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
9999,Mostly Positive
2017,Very Positive
2017,Mostly Positive
9999,Positive
2017,Mixed
2017,Very Positive
2017,Very Positive
2017,Mixed
2017,Mostly Negative
2017,Mostly Negative
2017,Mixed
2017,Positive
2017,Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Positive
2017,Positive
2017,Mixed
9999,Mixed
2017,Mixed
9999,Mixed
2017,Positive
2017,Mixed
2017,Very Positive
2017,Positive
2017,Mixed
2017,Mostly Negative
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Very Positive
2017,Mixed
2017,Mostly Negative
2017,Positive
2017,Mostly Positive
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Positive
2017,Mostly Positive
2017,Mixed
2017,Mixed
2017,Mostly Positive
2017,Mixed
2017,Positive
2017,Mixed
2017,Very Positive
2017,Positive
9999,Mixed
9999,Mixed
9999,Mostly Positive
2017,Positive
2017,Positive
2017,Mixed
2016,Very Positive
2017,Overwhelmingly Positive
2017,Mixed
2014,Positive
2017,Mixed
2017,Positive
9999,Mixed
2017,Positive
2017,Very Positive
2017,Mostly Negative
2017,Very Positive
9999,Very Positive
2016,Mostly Negative
2017,Mostly Negative
9999,Mostly Positive
2017,Mostly Positive
2017,Very Positive
2017,Mixed
2017,Overwhelmingly Positive
2017,Very Positive
2017,Positive
2017,Very Positive
2017,Positive
2017,Mixed
2016,Positive
2017,Positive
2017,Mixed
9999,Positive
2017,Mostly Negative
2017,Mixed
9999,Positive
9999,Positive
2016,Mixed
2017,Very Positive
2017,Mixed
2017,Very Positive
2017,Positive
9999,Mixed
2017,Mixed
9999,Positive
2017,Mixed
2017,Mostly Negative
2017,Positive
2017,Mixed
2016,Mixed
9999,Positive
2017,Negative
2017,Mostly Positive
2016,Mixed
2017,Mixed
2017,Positive
9999,Mixed
2016,Mostly Positive
2016,Mixed
2016,Mostly Positive
2016,Mixed
2015,Positive
2016,Positive
2016,Mostly Negative
2016,Mixed
9999,Positive
9999,Mostly Positive
9999,Positive
2016,Mixed
2016,Mostly Positive
9999,Mixed
2016,Mostly Positive
9999,Positive
2016,Mixed
2016,Mostly Negative
2016,Positive
2016,Mixed
9999,Very Positive
2016,Very Positive
2016,Very Positive
9999,Very Positive
2016,Positive
9999,Positive
9999,Very Positive
2016,Mostly Positive
9999,Very Positive
2016,Very Positive
2015,Mixed
2016,Very Positive
2016,Positive
2016,Mixed
2016,Mixed
2016,Positive
2016,Mostly Positive
9999,Positive
2016,Mostly Positive
2016,Positive
9999,Mostly Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Overwhelmingly Negative
2016,Mostly Negative
2016,Positive
2016,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Mixed
2016,Mostly Negative
2016,Very Positive
9999,Mostly Positive
2016,Positive
2016,Positive
2016,Mixed
2016,Very Positive
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Mostly Positive
9999,Very Positive
2016,Mixed
2016,Very Positive
9999,Positive
2016,Mixed
2016,Very Positive
9999,Mixed
2016,Mostly Negative
2016,Positive
9999,Positive
2016,Mixed
2016,Positive
2016,Mixed
2016,Positive
2016,Very Positive
2016,Positive
2016,Positive
2016,Positive
2016,Mostly Positive
9999,Mixed
2016,Mixed
2016,Positive
9999,Positive
2016,Very Positive
2016,Positive
2016,Positive
2016,Mixed
9999,Mixed
2016,Positive
9999,Mostly Positive
2016,Positive
2016,Very Positive
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Very Positive
1999,Very Positive
2016,Mixed
2013,Positive
2016,Mostly Positive
9999,Positive
2016,Positive
2016,Mostly Positive
2016,Positive
1998,Mixed
1995,Mixed
2016,Mixed
2016,Mostly Positive
2016,Mostly Positive
2016,Very Positive
2016,Very Positive
2016,Mostly Positive
2016,Very Positive
2016,Very Positive
2016,Positive
2016,Mostly Negative
2016,Mostly Positive
9999,Mostly Positive
2016,Mixed
2016,Positive
2016,Positive
2016,Mostly Positive
9999,Mostly Positive
2016,Mixed
2016,Positive
9999,Positive
2016,Very Positive
2016,Mixed
2016,Very Positive
9999,Mixed
2016,Mostly Positive
2016,Very Positive
2016,Positive
2016,Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Positive
2016,Mixed
2017,Positive
2013,Mostly Positive
2016,Overwhelmingly Positive
2016,Mostly Negative
2016,Mostly Positive
9999,Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Mixed
2017,Very Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Overwhelmingly Positive
2016,Mostly Positive
2016,Positive
2016,Mixed
2016,Mostly Negative
2016,Mixed
9999,Mixed
2016,Very Positive
2016,Mostly Positive
2016,Positive
2016,Mostly Positive
2016,Mostly Positive
2016,Mixed
2016,Positive
2016,Positive
2016,Positive
